code_club,C1D,C1HU18,C1H,C2,K1HU18_1,K1HU18_2,K1H_1,K1H_2,K1DU18,K1D,Total_bonus
6803,10,15,,15,,,,,,15,55
9404,8,,8,4,2,,10,,,,32
8802,,,15,8,,,3,,,,26
8604,15,10,,,,,,,,,25
9202,,8,,2,8,2,1,,,,21
2412,,,10,3,1,,6,,,,20
4421,,,,,2,,15,1,,,18
6701,,6,,,10,1,,,,,17
2415,,,,10,1,,4,1,,,16
2403,,,,,,,1,,15,,16
2410,,,,,15,,,,,,15
7705,,3,,,6,,,,,,9
3105,,,,,,,8,,,,8
1911,,,,6,,,2,,,,8
2206,,4,,,1,,,,,,5
3318,,,,,4,,,,,,4
7206,,,,,3,,1,,,,4
6102,,,,,,,2,,,,2
2711,,,,,,,2,,,,2
3311,,,,,,,1,,,,1
6309,,,,,,,1,,,,1
8501,,,,,,,1,,,,1